,Casa Tipo A,Casa Tipo B,Rancho,Casilla,Departamento,Pieza en inquilinato,Pieza en hotel familiar o pensión,Local no construido para habitación,Vivienda móvil,Total
Ciudad Autónoma de Buenos Aires,261476,18838,708,2308,818341,25558,20348,2458,99,1150134
Buenos Aires,3421708,599394,35174,125879,571272,22280,3445,8801,1531,4789484
Catamarca,70732,18923,2250,422,2909,576,39,105,45,96001
Córdoba,801657,83994,6341,3081,129774,3737,1477,1290,492,1031843
Corrientes,176859,49224,13660,8621,15455,2934,362,432,250,267797
Chaco,150592,101822,13506,6097,12991,2482,204,473,255,288422
Chubut,118306,13237,1671,2108,20121,1221,79,262,161,157166
Entre Ríos,298714,34708,4058,7725,28092,791,257,545,231,375121
Formosa,66763,51368,12836,1632,4473,2811,52,254,114,140303
Jujuy,112268,38021,8178,2846,8752,4032,171,269,93,174630
La Pampa,93477,4482,473,178,8452,338,11,184,79,107674
La Rioja,67214,14673,2023,1710,4521,730,72,108,46,91097
Mendoza,381105,48665,8389,2139,51254,2171,350,659,109,494841
Misiones,171768,88577,8231,12195,17628,3725,90,580,159,302953
Neuquén,125065,14182,2096,3703,22589,1948,102,245,127,170057
Río negro,142543,20229,2308,4247,28008,1327,88,346,93,199189
Salta,178300,68741,16073,12000,18659,4936,222,530,333,299794
San Juan,127390,20147,12490,1213,15128,505,53,204,25,177155
San Luis,99617,12724,1208,515,11466,906,124,228,134,126922
Santa Cruz,63904,4684,585,974,9957,1427,66,128,71,81796
Santa Fe,742851,113638,12388,10643,138881,2630,1257,1243,246,1023777
Santiago del Estero,108639,76293,24372,1255,6281,592,102,246,245,218025
Tucumán,235452,81064,5330,12276,32288,1263,386,362,117,368538
Tierra del Fuego,25107,1499,106,4148,7654,281,89,47,25,38956
